,subj,sess,trial,time_penalty,gameState,start_time,stop_time,time_bin,time_step,maze_region,head_direc,is_moving,base_in_view,gold_in_view,gold_in_view_ids,dig_performed,dig_success,all_digs,dig_ids,dig_dists
141,U554,ses0,1,0,Retrieval,803714,804214,22,4,SE Room,NW,1,0,1.0,['rubyHeart0002'],0.0,,,,
142,U554,ses0,1,0,Retrieval,804214,804714,23,4,SE Room,N,1,0,1.0,['rubyHeart0002'],0.0,,,,
143,U554,ses0,1,0,Retrieval,804714,805214,24,5,SE Room,N,1,0,1.0,['rubyHeart0002'],0.0,,,,
144,U554,ses0,1,0,Retrieval,805214,805714,25,5,SE Room,N,1,0,1.0,['rubyHeart0002'],0.0,,,,
145,U554,ses0,1,0,Retrieval,805714,806214,26,5,SE Room,N,1,0,1.0,['rubyHeart0002'],0.0,,,,
146,U554,ses0,1,0,Retrieval,806214,806714,27,5,SE Room,N,1,0,1.0,['rubyHeart0002'],0.0,,,,
147,U554,ses0,1,0,Retrieval,806714,807214,28,5,SE Room,N,1,0,1.0,['rubyHeart0002'],0.0,,,,
148,U554,ses0,1,0,Retrieval,807214,807714,29,5,SE Room,N,1,0,1.0,['rubyHeart0002'],1.0,1.0,[1],['rubyHeart0002'],[0.9717813]
149,U554,ses0,1,0,Retrieval,807714,808214,30,6,SE Room,N,1,0,0.0,,0.0,,,,
150,U554,ses0,1,0,Retrieval,808214,808714,31,6,SE Room,N,1,0,0.0,,0.0,,,,
151,U554,ses0,1,0,Retrieval,808714,809214,32,6,SE Room,N,1,0,0.0,,0.0,,,,
152,U554,ses0,1,0,Retrieval,809214,809714,33,6,C Hall,N,1,0,0.0,,0.0,,,,
153,U554,ses0,1,0,Retrieval,809714,810214,34,6,C Hall,N,1,0,0.0,,0.0,,,,
154,U554,ses0,1,0,Retrieval,810214,810714,35,6,NE Room,N,1,0,0.0,,0.0,,,,
155,U554,ses0,1,0,Retrieval,810714,811214,36,7,NE Room,N,1,0,0.0,,0.0,,,,
156,U554,ses0,1,0,Retrieval,811214,811714,37,7,NE Room,N,1,0,0.0,,0.0,,,,
157,U554,ses0,1,0,Retrieval,811714,812214,38,7,NE Room,N,1,0,0.0,,0.0,,,,
158,U554,ses0,1,0,Retrieval,812214,812714,39,7,NE Hall,NW,1,0,0.0,,0.0,,,,
159,U554,ses0,1,0,Retrieval,812714,813214,40,7,NE Hall,W,1,0,0.0,,0.0,,,,
160,U554,ses0,1,0,Retrieval,813214,813714,41,7,NE Hall,W,1,0,0.0,,0.0,,,,
161,U554,ses0,1,0,Retrieval,813714,814214,42,8,NE Hall,W,1,0,0.0,,0.0,,,,
162,U554,ses0,1,0,Retrieval,814214,814714,43,8,NE Hall,W,1,0,0.0,,0.0,,,,
163,U554,ses0,1,0,Retrieval,814714,815214,44,8,NE Hall,W,1,0,0.0,,0.0,,,,
164,U554,ses0,1,0,Retrieval,815214,815714,45,8,N Passage,W,1,0,0.0,,0.0,,,,
165,U554,ses0,1,0,Retrieval,815714,816214,46,8,N Passage,W,1,0,0.0,,0.0,,,,
166,U554,ses0,1,0,Retrieval,816214,816714,47,8,NW Hall,W,1,0,0.0,,0.0,,,,
167,U554,ses0,1,0,Retrieval,816714,817214,48,9,NW Hall,W,1,0,0.0,,0.0,,,,
168,U554,ses0,1,0,Retrieval,817214,817714,49,9,NW Hall,W,1,0,0.0,,0.0,,,,
169,U554,ses0,1,0,Retrieval,817714,818214,50,9,NW Hall,SW,1,0,1.0,['saphireTeardrop0001'],0.0,,,,
170,U554,ses0,1,0,Retrieval,818214,818714,51,9,NW Hall,SW,1,0,1.0,['saphireTeardrop0001'],0.0,,,,
171,U554,ses0,1,0,Retrieval,818714,819214,52,9,NW Hall,S,1,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",0.0,,,,
172,U554,ses0,1,0,Retrieval,819214,819714,53,9,NW Hall,S,1,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",0.0,,,,
173,U554,ses0,1,0,Retrieval,819714,820214,54,10,NW Hall,S,1,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",1.0,0.0,[0],[nan],[-1.0]
