,trial,gameState,45-1
903,6,Delay1,0
904,6,Delay1,0
905,6,Encoding,0
906,6,Encoding,0
907,6,Encoding,0
908,6,Encoding,0
909,6,Encoding,0
910,6,Encoding,0
911,6,Encoding,0
912,6,Encoding,0
913,6,Encoding,0
914,6,Encoding,0
915,6,Encoding,0
916,6,Encoding,0
917,6,Encoding,0
918,6,Encoding,0
919,6,Encoding,0
920,6,Encoding,1
921,6,Encoding,0
922,6,Encoding,0
923,6,Encoding,0
924,6,Encoding,0
925,6,Encoding,0
926,6,Encoding,0
927,6,Encoding,0
928,6,Encoding,0
929,6,Encoding,0
930,6,Encoding,0
931,6,Encoding,2
932,6,Encoding,1
933,6,Encoding,0
934,6,Encoding,0
935,6,Encoding,0
936,6,Encoding,0
937,6,Encoding,0
938,6,Encoding,0
939,6,Encoding,0
940,6,Encoding,0
941,6,Encoding,0
942,6,Encoding,0
943,6,Encoding,0
944,6,Encoding,1
945,6,Encoding,0
946,6,Encoding,0
947,6,Encoding,0
948,6,Encoding,0
949,6,Encoding,0
950,6,Encoding,0
951,6,Encoding,0
952,6,Encoding,0
953,6,Encoding,1
954,6,Encoding,0
955,6,Encoding,1
956,6,Encoding,1
957,6,Encoding,0
958,6,Encoding,0
959,6,Encoding,0
960,6,Encoding,0
961,6,Encoding,0
962,6,Encoding,0
963,6,Encoding,0
964,6,Encoding,1
965,6,Delay2,0
966,6,Delay2,0
967,6,Delay2,0
968,6,Delay2,0
969,6,Delay2,1
970,6,Delay2,0
971,6,Delay2,0
972,6,Delay2,0
973,6,Delay2,2
974,6,Delay2,0
975,6,Delay2,0
976,6,Delay2,0
977,6,Delay2,0
978,6,Delay2,0
979,6,Delay2,0
980,6,Delay2,0
981,6,Delay2,0
982,6,Delay2,0
983,6,Delay2,0
984,6,Delay2,0
985,6,Retrieval,0
986,6,Retrieval,0
987,6,Retrieval,2
988,6,Retrieval,0
989,6,Retrieval,1
990,6,Retrieval,0
991,6,Retrieval,0
992,6,Retrieval,0
993,6,Retrieval,0
994,6,Retrieval,1
995,6,Retrieval,0
996,6,Retrieval,1
997,6,Retrieval,0
998,6,Retrieval,3
999,6,Retrieval,1
1000,6,Retrieval,0
1001,6,Retrieval,1
1002,6,Retrieval,3
1003,6,Retrieval,0
1004,6,Retrieval,0
1005,6,Retrieval,0
1006,6,Retrieval,0
1007,6,Retrieval,0
1008,6,Retrieval,0
1009,6,Retrieval,1
1010,6,Retrieval,0
1011,6,Retrieval,0
1012,6,Retrieval,0
1013,6,Retrieval,0
1014,6,Retrieval,0
1015,6,Retrieval,1
1016,6,Retrieval,1
1017,6,Retrieval,2
1018,6,Retrieval,3
1019,6,Retrieval,2
1020,6,Retrieval,0
1021,6,Retrieval,0
1022,6,Retrieval,0
1023,6,Retrieval,2
1024,6,Retrieval,1
1025,6,Retrieval,1
1026,6,Retrieval,2
1027,6,Retrieval,2
1028,6,Retrieval,0
1029,6,Retrieval,0
1030,6,Retrieval,1
1031,6,Retrieval,2
1032,6,Retrieval,0
1033,6,Retrieval,0
1034,6,Retrieval,0
1035,6,Retrieval,1
1036,6,Retrieval,0
1037,6,Retrieval,0
1038,6,Retrieval,1
1039,6,Retrieval,1
1040,6,Retrieval,0
1041,6,Retrieval,2
1042,6,Retrieval,0
1043,6,Retrieval,0
1044,6,Retrieval,0
1055,7,Delay1,0
1056,7,Delay1,0
1057,7,Delay1,0
1058,7,Delay1,0
1059,7,Delay1,0
1060,7,Delay1,1
1061,7,Delay1,0
1062,7,Delay1,0
1063,7,Delay1,1
1064,7,Delay1,0
1065,7,Delay1,1
1066,7,Delay1,0
1067,7,Delay1,0
1068,7,Delay1,1
1069,7,Delay1,1
1070,7,Delay1,0
1071,7,Delay1,2
1072,7,Delay1,0
1073,7,Delay1,1
1074,7,Delay1,1
1075,7,Encoding,0
1076,7,Encoding,1
1077,7,Encoding,0
1078,7,Encoding,0
1079,7,Encoding,0
1080,7,Encoding,0
1081,7,Encoding,0
1082,7,Encoding,0
1083,7,Encoding,0
1084,7,Encoding,0
1085,7,Encoding,0
1086,7,Encoding,0
1087,7,Encoding,0
1088,7,Encoding,0
1089,7,Encoding,0
1090,7,Encoding,0
1091,7,Encoding,0
1092,7,Encoding,1
1093,7,Encoding,0
1094,7,Encoding,0
1095,7,Encoding,0
1096,7,Encoding,0
1097,7,Encoding,0
1098,7,Encoding,0
1099,7,Encoding,0
1100,7,Encoding,0
1101,7,Encoding,0
1102,7,Encoding,0
1103,7,Encoding,0
1104,7,Encoding,2
1105,7,Encoding,0
1106,7,Encoding,0
1107,7,Encoding,0
1108,7,Encoding,0
1109,7,Encoding,1
1110,7,Encoding,0
1111,7,Encoding,0
1112,7,Encoding,0
1113,7,Encoding,0
1114,7,Encoding,0
1115,7,Encoding,0
1116,7,Encoding,0
1117,7,Encoding,1
1118,7,Encoding,2
1119,7,Encoding,0
1120,7,Encoding,0
1121,7,Encoding,0
1122,7,Encoding,0
1123,7,Encoding,0
1124,7,Encoding,0
1125,7,Encoding,0
1126,7,Encoding,0
1127,7,Encoding,0
1128,7,Encoding,0
1129,7,Encoding,0
1130,7,Encoding,2
1131,7,Encoding,5
1132,7,Encoding,2
1133,7,Encoding,0
1134,7,Encoding,1
1135,7,Delay2,0
1136,7,Delay2,0
1137,7,Delay2,1
1138,7,Delay2,0
1139,7,Delay2,1
1140,7,Delay2,0
1141,7,Delay2,0
1142,7,Delay2,1
1143,7,Delay2,2
1144,7,Delay2,0
1145,7,Delay2,1
1146,7,Delay2,2
1147,7,Delay2,1
1148,7,Delay2,0
1149,7,Delay2,0
1150,7,Delay2,1
1151,7,Delay2,1
1152,7,Delay2,1
1153,7,Delay2,0
1154,7,Delay2,0
1155,7,Retrieval,0
1156,7,Retrieval,0
1157,7,Retrieval,1
1158,7,Retrieval,0
1159,7,Retrieval,1
1160,7,Retrieval,0
1161,7,Retrieval,1
1162,7,Retrieval,0
1163,7,Retrieval,0
1164,7,Retrieval,0
1165,7,Retrieval,1
1166,7,Retrieval,2
1167,7,Retrieval,0
1168,7,Retrieval,0
1169,7,Retrieval,1
1170,7,Retrieval,0
1171,7,Retrieval,1
1172,7,Retrieval,0
1173,7,Retrieval,0
1174,7,Retrieval,0
1175,7,Retrieval,1
1176,7,Retrieval,0
1177,7,Retrieval,0
1178,7,Retrieval,0
1179,7,Retrieval,0
1180,7,Retrieval,0
1181,7,Retrieval,0
1182,7,Retrieval,1
1183,7,Retrieval,0
1184,7,Retrieval,0
1185,7,Retrieval,0
1186,7,Retrieval,0
1187,7,Retrieval,0
1188,7,Retrieval,0
1189,7,Retrieval,0
1190,7,Retrieval,1
1191,7,Retrieval,0
1192,7,Retrieval,0
1193,7,Retrieval,1
1194,7,Retrieval,1
1195,7,Retrieval,0
1196,7,Retrieval,2
1197,7,Retrieval,0
1198,7,Retrieval,0
1199,7,Retrieval,4
1200,7,Retrieval,1
1201,7,Retrieval,0
1202,7,Retrieval,0
1203,7,Retrieval,0
1204,7,Retrieval,0
1205,7,Retrieval,0
1206,7,Retrieval,0
1207,7,Retrieval,0
1208,7,Retrieval,2
1209,7,Retrieval,0
1210,7,Retrieval,2
1211,7,Retrieval,0
1212,7,Retrieval,0
1213,7,Retrieval,0
1214,7,Retrieval,0
1224,8,Delay1,0
1225,8,Delay1,0
1226,8,Delay1,0
1227,8,Delay1,0
1228,8,Delay1,0
1229,8,Delay1,0
1230,8,Delay1,0
1231,8,Delay1,1
1232,8,Delay1,0
1233,8,Delay1,2
1234,8,Delay1,1
1235,8,Delay1,0
1236,8,Delay1,0
1237,8,Delay1,0
1238,8,Delay1,0
1239,8,Delay1,0
1240,8,Delay1,0
1241,8,Delay1,1
1242,8,Delay1,1
1243,8,Delay1,0
1244,8,Encoding,0
1245,8,Encoding,0
1246,8,Encoding,1
1247,8,Encoding,1
1248,8,Encoding,0
1249,8,Encoding,1
1250,8,Encoding,0
1251,8,Encoding,0
1252,8,Encoding,0
1253,8,Encoding,0
1254,8,Encoding,0
1255,8,Encoding,4
1256,8,Encoding,0
1257,8,Encoding,0
1258,8,Encoding,0
1259,8,Encoding,0
1260,8,Encoding,0
1261,8,Encoding,0
1262,8,Encoding,0
1263,8,Encoding,1
1264,8,Encoding,0
1265,8,Encoding,0
1266,8,Encoding,0
1267,8,Encoding,0
1268,8,Encoding,2
1269,8,Encoding,0
1270,8,Encoding,0
1271,8,Encoding,1
1272,8,Encoding,0
1273,8,Encoding,0
1274,8,Encoding,0
1275,8,Encoding,2
1276,8,Encoding,0
1277,8,Encoding,2
1278,8,Encoding,3
1279,8,Encoding,1
1280,8,Encoding,0
1281,8,Encoding,0
1282,8,Encoding,2
1283,8,Encoding,0
1284,8,Encoding,0
1285,8,Encoding,0
1286,8,Encoding,0
1287,8,Encoding,0
1288,8,Encoding,0
1289,8,Encoding,0
1290,8,Encoding,3
1291,8,Encoding,0
1292,8,Encoding,0
1293,8,Encoding,1
1294,8,Encoding,0
1295,8,Encoding,2
1296,8,Encoding,0
1297,8,Encoding,2
1298,8,Encoding,0
1299,8,Encoding,0
1300,8,Encoding,0
1301,8,Encoding,1
1302,8,Encoding,2
1303,8,Encoding,0
1316,8,Delay2,0
